epoch,reward,loss,policy_loss,value_loss,entropy
1,0.1689,0.3336,-0.0331,0.9875,5.6554
2,0.1216,0.3210,-0.0646,1.0337,5.5834
3,0.1277,0.2459,-0.1118,0.9629,5.5077
4,0.1331,0.2824,-0.0934,1.0076,5.4398
5,0.1843,0.2559,-0.0725,0.8877,5.3298
6,0.1696,0.2415,-0.1361,1.0094,5.2290
7,0.1384,0.2682,-0.0986,0.9815,5.1693
8,0.1845,0.2657,-0.1108,1.0055,5.1388
9,0.1642,0.2333,-0.1193,0.9461,5.1560
10,0.1757,0.2522,-0.0992,0.9433,5.1739
11,0.2122,0.2127,-0.1585,0.9922,5.1348
12,0.1887,0.2883,-0.0507,0.9115,5.1250
13,0.2549,0.2569,-0.0865,0.9224,5.1088
14,0.2458,0.2149,-0.1314,0.9301,5.1467
15,0.1926,0.2076,-0.1165,0.8745,5.1347
16,0.2244,0.2439,-0.0901,0.8990,5.1016
17,0.2199,0.2218,-0.1220,0.9238,5.1313
18,0.1882,0.2287,-0.1048,0.8985,5.1849
19,0.2553,0.2147,-0.1113,0.8795,5.1653
20,0.2672,0.2194,-0.1035,0.8715,5.1415
21,0.2371,0.2329,-0.1043,0.9057,5.0183
22,0.2979,0.2565,-0.1210,1.0032,4.7569
23,0.2842,0.2377,-0.1010,0.9022,4.4333
24,0.2782,0.2253,-0.1157,0.9078,4.4286
25,0.4402,0.2149,-0.1291,0.9150,4.4056
26,0.2759,0.2245,-0.1115,0.8951,4.4037
27,0.3630,0.2482,-0.1072,0.9437,4.4178
28,0.4112,0.2283,-0.0979,0.8716,4.4712
29,0.3216,0.2473,-0.0885,0.8950,4.4392
30,0.5439,0.2134,-0.1251,0.9014,4.4244
31,0.4597,0.2050,-0.1355,0.9067,4.4418
32,0.5221,0.2292,-0.1132,0.9110,4.3983
33,0.5446,0.2461,-0.0982,0.9147,4.3209
34,0.5474,0.2330,-0.1174,0.9286,4.2199
35,0.5899,0.2139,-0.1178,0.8813,4.1433
36,0.5369,0.2377,-0.0968,0.8865,4.0232
37,0.5484,0.2043,-0.1228,0.8668,3.9125
38,0.5699,0.2093,-0.1276,0.8905,3.8581
39,0.6197,0.2783,-0.0832,0.9511,3.8010
40,0.5228,0.2604,-0.0864,0.9155,3.8796
41,0.5203,0.2419,-0.1016,0.9075,3.8979
42,0.5673,0.2192,-0.1238,0.9067,3.9405
43,0.5839,0.2177,-0.1253,0.9070,3.9642
44,0.5814,0.2413,-0.0987,0.8995,3.9694
45,0.6041,0.2800,-0.0742,0.9343,3.9021
46,0.5406,0.2140,-0.1295,0.9072,3.8787
47,0.6007,0.2346,-0.1153,0.9233,3.8752
48,0.6674,0.2264,-0.1162,0.9045,3.8566
49,0.6747,0.2366,-0.1052,0.9019,3.7882
50,0.6604,0.2323,-0.1066,0.8942,3.7507
51,0.6493,0.2259,-0.1092,0.8839,3.7021
52,0.6226,0.2599,-0.0746,0.8818,3.6431
53,0.7095,0.2032,-0.1346,0.8892,3.5891
54,0.6779,0.2070,-0.1323,0.8930,3.5934
55,0.7321,0.2494,-0.1065,0.9350,3.6136
56,0.7216,0.2407,-0.0957,0.8861,3.6195
57,0.7924,0.2354,-0.1051,0.8963,3.5916
58,0.7465,0.2306,-0.1131,0.9049,3.6464
59,0.7506,0.2289,-0.1141,0.9030,3.6391
60,0.7387,0.2226,-0.1206,0.9038,3.6679
61,0.7405,0.2466,-0.1042,0.9233,3.6956
62,0.7306,0.2444,-0.0899,0.8821,3.7016
63,0.7048,0.2296,-0.1189,0.9178,3.7321
64,0.7322,0.2262,-0.1183,0.9081,3.7563
65,0.7198,0.2040,-0.1403,0.9073,3.7321
66,0.8010,0.2251,-0.1228,0.9161,3.7147
67,0.6990,0.2174,-0.1215,0.8932,3.6904
68,0.7673,0.2322,-0.1010,0.8793,3.7111
69,0.6609,0.2452,-0.1026,0.9157,3.7078
70,0.7299,0.2266,-0.1225,0.9186,3.6866
71,0.7136,0.2677,-0.0822,0.9212,3.7317
72,0.6712,0.2476,-0.1052,0.9290,3.7586
73,0.7435,0.2475,-0.0985,0.9113,3.7030
74,0.7909,0.2075,-0.1287,0.8861,3.6577
75,0.8105,0.2277,-0.1165,0.9057,3.6104
76,0.7635,0.2389,-0.1003,0.8934,3.6113
77,0.6901,0.2402,-0.1012,0.8986,3.6233
78,0.7600,0.2525,-0.0901,0.9011,3.5659
79,0.7974,0.2328,-0.1151,0.9140,3.5291
80,0.8045,0.2180,-0.1296,0.9129,3.5188
81,0.7549,0.2746,-0.0678,0.8998,3.5032
82,0.7783,0.2625,-0.0895,0.9239,3.5114
83,0.7338,0.2344,-0.1004,0.8814,3.5493
84,0.7323,0.2218,-0.1278,0.9180,3.5298
85,0.7934,0.2070,-0.1431,0.9194,3.5299
86,0.7899,0.2462,-0.0988,0.9073,3.5741
87,0.7012,0.2497,-0.0928,0.9009,3.5732
88,0.8153,0.2468,-0.0851,0.8748,3.6050
89,0.8438,0.2490,-0.0881,0.8884,3.6610
90,0.7325,0.2346,-0.1133,0.9156,3.6630
91,0.6931,0.2343,-0.1089,0.9031,3.6060
92,0.7603,0.2684,-0.0813,0.9196,3.6173
93,0.7175,0.2461,-0.1014,0.9136,3.5875
94,0.7757,0.2486,-0.0982,0.9112,3.5449
95,0.7166,0.2477,-0.0962,0.9041,3.5452
96,0.8373,0.2176,-0.1273,0.9069,3.5688
97,0.8165,0.2742,-0.0684,0.9010,3.5528
98,0.7157,0.2454,-0.1009,0.9095,3.5099
99,0.7908,0.2253,-0.1148,0.8950,3.5616
100,0.7608,0.2700,-0.0757,0.9093,3.6105
101,0.7470,0.2280,-0.1071,0.8830,3.6296
102,0.7510,0.2458,-0.0952,0.8978,3.6288
103,0.6280,0.2131,-0.1319,0.9078,3.6252
104,0.7589,0.2291,-0.1166,0.9094,3.6124
105,0.7294,0.2324,-0.1140,0.9109,3.5886
106,0.7034,0.2407,-0.1017,0.9002,3.5496
107,0.7454,0.2203,-0.1186,0.8913,3.5158
108,0.8614,0.2507,-0.0929,0.9024,3.4733
109,0.8258,0.2314,-0.1023,0.8773,3.4337
110,0.7897,0.2421,-0.1080,0.9179,3.4028
111,0.8493,0.2507,-0.0911,0.8968,3.3979
112,0.7087,0.2464,-0.1013,0.9115,3.3894
113,0.8252,0.2538,-0.0924,0.9081,3.4101
114,0.8044,0.2666,-0.0737,0.8942,3.4729
115,0.7053,0.2492,-0.0969,0.9098,3.5475
116,0.7677,0.2492,-0.0981,0.9130,3.5948
117,0.7859,0.2393,-0.1000,0.8934,3.6000
118,0.8213,0.2252,-0.1166,0.9002,3.6512
119,0.7745,0.2382,-0.1085,0.9126,3.6696
120,0.7004,0.2211,-0.1143,0.8843,3.6654
121,0.7168,0.2377,-0.0992,0.8871,3.5804
122,0.7620,0.2435,-0.0970,0.8957,3.5548
123,0.7318,0.2428,-0.0897,0.8755,3.5314
124,0.8503,0.2461,-0.0989,0.9063,3.5139
125,0.7665,0.2267,-0.1094,0.8840,3.5031
126,0.7480,0.2262,-0.1165,0.9009,3.5184
127,0.7152,0.2391,-0.0947,0.8784,3.5112
128,0.7405,0.2487,-0.0940,0.9010,3.5335
129,0.6774,0.2410,-0.1016,0.9004,3.5138
130,0.7278,0.2631,-0.0846,0.9127,3.4739
131,0.8153,0.2627,-0.0860,0.9146,3.4383
132,0.8577,0.2668,-0.0845,0.9214,3.4460
133,0.7680,0.2704,-0.0724,0.9003,3.4565
134,0.7243,0.2816,-0.0510,0.8745,3.4554
135,0.8425,0.2251,-0.1175,0.8997,3.4610
136,0.8160,0.2634,-0.0785,0.8975,3.4211
137,0.7739,0.2802,-0.0698,0.9173,3.3946
138,0.7736,0.2410,-0.1077,0.9145,3.4115
139,0.7584,0.2621,-0.0873,0.9164,3.4414
140,0.7772,0.2408,-0.1028,0.9025,3.4740
141,0.8024,0.2520,-0.0907,0.9007,3.5047
142,0.7134,0.2841,-0.0594,0.9025,3.5019
143,0.8075,0.2366,-0.1088,0.9079,3.5492
144,0.6914,0.2607,-0.0801,0.8961,3.5319
145,0.7454,0.2309,-0.1176,0.9150,3.4943
146,0.7555,0.2410,-0.1047,0.9081,3.4932
147,0.7518,0.2433,-0.1046,0.9131,3.4702
148,0.7539,0.2268,-0.1163,0.9011,3.4677
149,0.7535,0.3017,-0.0471,0.9149,3.4311
150,0.7877,0.2325,-0.1082,0.8949,3.4438
151,0.7328,0.2537,-0.0961,0.9174,3.4429
152,0.7136,0.2524,-0.0917,0.9030,3.4380
153,0.7569,0.2703,-0.0742,0.9039,3.4047
154,0.7753,0.2414,-0.0953,0.8840,3.3851
155,0.7514,0.2513,-0.0963,0.9116,3.4103
156,0.7797,0.2385,-0.1052,0.9024,3.4414
157,0.8323,0.2828,-0.0601,0.9006,3.4611
158,0.8079,0.2569,-0.0888,0.9075,3.4692
159,0.8380,0.2511,-0.0907,0.8981,3.4859
160,0.8161,0.2622,-0.0820,0.9039,3.4670
161,0.8467,0.2727,-0.0674,0.8933,3.4452
162,0.8200,0.2808,-0.0682,0.9148,3.3997
163,0.7358,0.2468,-0.0978,0.9037,3.3835
164,0.6838,0.2170,-0.1254,0.8980,3.3653
165,0.7894,0.2672,-0.0807,0.9115,3.3415
166,0.8583,0.2479,-0.0941,0.8969,3.3474
167,0.8278,0.2711,-0.0736,0.9034,3.3407
168,0.8010,0.2579,-0.0883,0.9074,3.3514
169,0.8107,0.2739,-0.0710,0.9045,3.3705
170,0.8247,0.2444,-0.0988,0.9004,3.3846
171,0.7982,0.2890,-0.0569,0.9070,3.3818
172,0.7819,0.2325,-0.1124,0.9046,3.3834
173,0.7766,0.2794,-0.0612,0.8935,3.3400
174,0.8010,0.2773,-0.0670,0.9021,3.3248
175,0.8331,0.2493,-0.0943,0.9005,3.3046
176,0.8139,0.2460,-0.0995,0.9048,3.2797
177,0.8276,0.2668,-0.0776,0.9019,3.2721
178,0.7913,0.2781,-0.0654,0.8996,3.2504
179,0.8342,0.2634,-0.0822,0.9045,3.2414
180,0.8248,0.2510,-0.0910,0.8955,3.2302
181,0.8343,0.2558,-0.0869,0.8968,3.2100
182,0.8403,0.2781,-0.0649,0.8975,3.2073
183,0.7795,0.2865,-0.0618,0.9110,3.2108
184,0.7463,0.2637,-0.0816,0.9034,3.2173
185,0.8018,0.2519,-0.0913,0.8985,3.2211
186,0.8121,0.2437,-0.0995,0.8983,3.2258
187,0.8497,0.2683,-0.0771,0.9037,3.2096
188,0.8573,0.2480,-0.0920,0.8898,3.1940
189,0.8482,0.2509,-0.0921,0.8971,3.1699
190,0.7782,0.2728,-0.0748,0.9085,3.1621
