epoch,reward,loss,policy_loss,value_loss,entropy
1,20.2020,0.3931,-0.0532,0.9496,5.6968
2,17.4179,0.4761,0.0345,0.9401,5.6874
3,26.0286,0.5812,0.1371,0.9451,5.6872
4,17.9014,0.7149,0.2668,0.9530,5.6855
5,16.1972,0.5607,0.1272,0.9238,5.6743
6,26.2808,0.5524,0.1113,0.9389,5.6646
7,29.1337,0.6690,0.2219,0.9508,5.6630
8,30.5837,0.5750,0.1323,0.9420,5.6604
9,48.5501,0.5033,0.0758,0.9116,5.6516
10,21.8997,0.4643,0.0203,0.9443,5.6438
11,17.4068,0.4976,0.0932,0.8653,5.6429
12,35.1167,0.5120,0.0996,0.8812,5.6332
13,28.5109,0.4035,-0.0124,0.8880,5.5994
14,26.0519,0.5013,0.0957,0.8667,5.5635
15,24.3286,0.5959,0.1711,0.9053,5.5563
16,35.6218,0.4718,0.0675,0.8639,5.5396
17,27.9522,0.5077,0.0608,0.9488,5.5026
18,23.1430,0.5216,0.0730,0.9518,5.4753
19,27.7335,0.5897,0.1260,0.9821,5.4708
20,23.5554,0.5203,0.0655,0.9644,5.4605
21,33.3367,0.4949,0.0931,0.8580,5.4342
22,44.1958,0.5055,0.1000,0.8652,5.4117
23,62.4214,0.5008,0.0502,0.9553,5.4074
24,27.3892,0.5352,0.0966,0.9312,5.3884
25,43.0475,0.5047,0.0521,0.9584,5.3186
26,55.9457,0.6432,0.1941,0.9510,5.2705
27,63.2759,0.5443,0.1153,0.9106,5.2539
28,71.6764,0.5347,0.0854,0.9511,5.2385
29,54.3244,0.4045,-0.0168,0.8945,5.1816
30,65.5872,0.4564,0.0140,0.9364,5.1564
31,62.4529,0.4316,0.0215,0.8716,5.1393
32,55.4672,0.4468,-0.0094,0.9636,5.1030
33,76.7740,0.4168,-0.0009,0.8859,5.0475
34,65.9096,0.5049,0.0906,0.8788,5.0131
35,73.4436,0.4588,0.0168,0.9342,5.0137
36,84.9882,0.4981,0.0633,0.9192,4.9631
37,55.7961,0.4916,0.0319,0.9685,4.9179
38,62.2944,0.7205,0.2792,0.9316,4.9108
39,71.6517,0.5867,0.1559,0.9108,4.9019
40,94.9354,0.5417,0.0780,0.9760,4.8676
41,57.4089,0.5483,0.1194,0.9063,4.8479
42,74.2181,0.5468,0.1113,0.9194,4.8464
43,66.9335,0.5325,0.1063,0.9009,4.8588
44,76.7236,0.4686,0.0220,0.9418,4.8558
45,63.9514,0.3978,-0.0354,0.9156,4.9128
46,85.9052,0.5496,0.1247,0.8990,4.9121
47,64.8166,0.4880,0.0240,0.9769,4.8928
48,82.0079,0.5363,0.0986,0.9242,4.8734
49,84.0480,0.4960,0.0359,0.9682,4.8005
50,70.3535,0.6220,0.2077,0.8760,4.7399
51,70.6034,0.6099,0.1603,0.9465,4.7319
52,95.0671,0.6285,0.2116,0.8804,4.6550
53,88.5351,0.4262,0.0003,0.8983,4.6436
54,72.7965,0.5240,0.0997,0.8948,4.6273
55,72.3825,0.5244,0.0821,0.9307,4.6141
56,91.5260,0.4780,0.0403,0.9216,4.6271
57,71.3613,0.5735,0.1626,0.8683,4.6476
58,78.6915,0.4684,0.0605,0.8618,4.6109
59,107.9110,0.5653,0.1182,0.9407,4.6614
60,87.8010,0.5886,0.1763,0.8704,4.5865
61,81.5454,0.3834,-0.0317,0.8761,4.5910
62,97.2091,0.3928,-0.0332,0.8983,4.6325
63,71.2242,0.4731,0.0507,0.8911,4.6262
64,87.0880,0.5262,0.1047,0.8889,4.5898
65,95.7280,0.3987,-0.0179,0.8783,4.5036
66,95.0310,0.6021,0.1710,0.9079,4.5705
67,86.2177,0.5112,0.0754,0.9174,4.5794
68,80.8765,0.5882,0.1492,0.9237,4.5584
69,83.1985,0.4693,0.0308,0.9227,4.5811
70,87.8590,0.5789,0.1645,0.8747,4.5970
71,101.9104,0.5619,0.1154,0.9388,4.5967
72,74.0613,0.4435,-0.0010,0.9350,4.6000
73,92.9056,0.4770,0.0254,0.9494,4.6014
74,85.9039,0.5297,0.1107,0.8844,4.6524
75,83.3414,0.6088,0.1622,0.9399,4.6750
76,84.4886,0.3790,-0.0262,0.8575,4.7052
77,86.2629,0.4138,-0.0233,0.9212,4.6948
78,108.3648,0.4746,0.0417,0.9125,4.6806
79,88.7654,0.4085,-0.0206,0.9052,4.7058
80,73.4393,0.4604,0.0329,0.9020,4.6933
81,81.9818,0.4227,0.0062,0.8801,4.7016
82,81.8275,0.5476,0.0980,0.9467,4.7524
83,83.7724,0.4323,0.0096,0.8927,4.7299
84,82.8064,0.4445,0.0134,0.9096,4.7444
85,82.9069,0.4994,0.0241,0.9983,4.7787
86,94.2048,0.5293,0.0919,0.9222,4.7429
87,92.9237,0.4755,0.0257,0.9468,4.7333
88,83.5593,0.4406,-0.0026,0.9338,4.7346
89,94.3819,0.3956,-0.0271,0.8934,4.7891
90,103.6878,0.4559,0.0530,0.8536,4.7897
91,81.3350,0.4864,0.0652,0.8902,4.7745
92,81.6929,0.4708,0.0345,0.9203,4.7662
93,89.2280,0.4567,0.0219,0.9172,4.7539
94,98.9386,0.4496,0.0340,0.8785,4.7369
95,72.1779,0.5206,0.1012,0.8862,4.7370
96,101.9758,0.4117,-0.0058,0.8822,4.7242
97,76.6546,0.3893,-0.0383,0.9024,4.7144
