epoch,reward,loss,policy_loss,value_loss,entropy
1,17.4156,0.4550,-0.0073,0.9816,5.6950
2,18.7725,0.5453,0.1026,0.9423,5.6788
3,36.9136,0.5374,0.0832,0.9648,5.6521
4,26.7163,0.4951,0.0117,1.0233,5.6343
5,24.4928,0.5779,0.1271,0.9577,5.6131
6,20.1169,0.5489,0.1301,0.8934,5.5789
7,59.5077,0.5420,0.0328,1.0738,5.5467
8,31.7646,0.4665,0.0283,0.9315,5.5202
9,38.1042,0.4887,0.0583,0.9157,5.4885
10,36.8037,0.4912,0.0505,0.9359,5.4510
11,56.6099,0.5853,0.0987,1.0273,5.4092
12,61.8635,0.4458,0.0204,0.9045,5.3521
13,41.6558,0.4539,0.0224,0.9161,5.3101
14,68.0028,0.3710,-0.0342,0.8634,5.2853
15,50.5807,0.5176,0.0967,0.8944,5.2638
16,58.9622,0.4380,-0.0225,0.9732,5.2281
17,50.4563,0.4742,0.0495,0.9015,5.2182
18,56.9202,0.4523,0.0402,0.8765,5.2329
19,42.0767,0.4707,0.0376,0.9183,5.2090
20,54.3684,0.4818,-0.0060,1.0274,5.1922
21,57.7571,0.5181,0.0216,1.0445,5.1631
22,49.6202,0.4305,-0.0098,0.9317,5.1050
23,47.1444,0.4208,-0.0254,0.9430,5.0421
24,61.5663,0.4637,0.0330,0.9115,4.9970
25,48.1946,0.4459,-0.0020,0.9458,4.9849
26,64.6556,0.4717,0.0400,0.9135,5.0033
27,58.8281,0.4140,0.0118,0.8545,5.0180
28,61.4640,0.4867,0.0601,0.9031,5.0111
29,60.1908,0.3772,-0.0177,0.8398,5.0051
30,58.2775,0.5000,0.0360,0.9779,4.9990
31,84.6164,0.4572,0.0006,0.9630,4.9762
32,60.3194,0.3862,-0.0257,0.8729,4.9164
33,58.4553,0.4350,-0.0059,0.9304,4.8632
34,62.5286,0.4464,0.0076,0.9252,4.7764
35,64.1240,0.5314,0.0414,1.0278,4.7704
36,77.3649,0.5191,0.0780,0.9298,4.7605
37,65.1676,0.4263,0.0075,0.8845,4.6993
38,65.0639,0.4468,0.0139,0.9125,4.6778
39,88.9782,0.3948,-0.0195,0.8749,4.6388
40,56.9883,0.3947,-0.0251,0.8862,4.6532
41,77.5353,0.4428,0.0212,0.8902,4.6905
42,90.6884,0.4205,-0.0057,0.8996,4.7125
43,72.6414,0.4489,0.0030,0.9395,4.7697
44,61.3814,0.4722,-0.0104,1.0133,4.8195
45,71.3958,0.4329,-0.0033,0.9207,4.8149
46,62.9525,0.4577,0.0090,0.9452,4.7742
47,64.1668,0.4576,0.0088,0.9455,4.7965
48,67.9489,0.4411,-0.0025,0.9350,4.7850
49,76.1759,0.4707,0.0453,0.8984,4.7469
50,73.7081,0.4002,-0.0361,0.9197,4.7206
51,57.9449,0.4183,-0.0168,0.9173,4.7048
52,67.2817,0.4062,-0.0322,0.9241,4.7312
53,79.0231,0.4392,-0.0192,0.9650,4.8191
54,77.0901,0.4621,0.0111,0.9506,4.8684
55,55.3944,0.4265,-0.0099,0.9215,4.8543
56,68.9571,0.4335,0.0101,0.8950,4.8220
57,71.8706,0.4658,0.0079,0.9639,4.8191
58,58.6651,0.4283,-0.0204,0.9452,4.7705
59,91.4792,0.4317,-0.0344,0.9791,4.7084
60,73.1999,0.4686,0.0105,0.9636,4.7317
61,64.0977,0.4308,0.0073,0.8944,4.7430
62,88.3987,0.4003,-0.0369,0.9217,4.7302
63,65.4479,0.3891,-0.0521,0.9298,4.7393
64,81.0639,0.4231,-0.0378,0.9693,4.7535
65,82.0967,0.4099,-0.0209,0.9096,4.7874
66,84.9119,0.4057,-0.0291,0.9178,4.8156
67,75.6813,0.4100,-0.0254,0.9188,4.7998
68,67.2585,0.4304,-0.0012,0.9107,4.7444
69,76.1904,0.4977,0.0334,0.9756,4.6963
70,71.5635,0.4376,-0.0210,0.9636,4.6311
71,79.6600,0.4342,0.0084,0.8972,4.5653
72,59.2117,0.4618,0.0020,0.9654,4.5739
73,86.8428,0.4421,-0.0186,0.9677,4.6419
74,80.0108,0.4533,0.0253,0.9024,4.6391
75,81.2529,0.4024,-0.0182,0.8874,4.6159
76,65.9422,0.4340,-0.0113,0.9369,4.6347
77,64.0787,0.4293,-0.0016,0.9081,4.6306
78,84.7879,0.4192,-0.0194,0.9232,4.5880
79,105.4728,0.4512,0.0078,0.9322,4.5383
80,88.3835,0.4714,0.0322,0.9240,4.5601
