epoch,reward,loss,policy_loss,value_loss,entropy
1,16.9525,0.4542,0.0205,0.9243,5.6895
2,16.9735,0.6076,0.1430,0.9861,5.6793
3,26.1667,0.7067,0.2778,0.9146,5.6783
4,25.4142,0.5851,0.1371,0.9526,5.6776
5,19.2106,0.5699,0.1657,0.8651,5.6760
6,18.6931,0.6497,0.2167,0.9228,5.6798
7,12.4538,0.7574,0.2998,0.9718,5.6784
8,18.1264,0.7496,0.3230,0.9098,5.6785
9,24.8819,0.5747,0.1618,0.8825,5.6792
10,30.8863,0.5604,0.1263,0.9251,5.6796
11,12.3292,1.0724,0.6569,0.8878,5.6784
12,35.6964,0.6184,0.1753,0.9430,5.6780
13,15.4319,0.5229,0.1338,0.8350,5.6784
14,16.3089,0.4712,0.0294,0.9404,5.6801
15,29.1987,0.5442,0.1183,0.9085,5.6779
16,33.8319,0.5204,0.0982,0.9013,5.6793
17,14.8744,0.6944,0.2285,0.9887,5.6798
18,36.8822,0.6559,0.1406,1.0873,5.6780
19,29.6631,0.5359,0.0675,0.9936,5.6783
20,15.1907,0.5535,0.1222,0.9192,5.6777
21,23.4973,0.6641,0.1881,1.0088,5.6801
22,22.7806,0.6318,0.2124,0.8955,5.6787
23,21.0958,0.7214,0.2877,0.9243,5.6795
24,27.9583,0.7958,0.3217,1.0049,5.6801
25,21.8328,0.7630,0.3656,0.8515,5.6791
26,34.1499,0.4433,0.0318,0.8798,5.6796
27,21.0639,0.5361,0.1017,0.9256,5.6785
28,43.9228,0.5720,0.1307,0.9394,5.6796
29,26.2564,0.6582,0.1675,1.0382,5.6799
30,17.6717,0.5379,0.1104,0.9119,5.6785
31,22.8140,0.5073,0.0812,0.9092,5.6800
32,27.0361,0.6452,0.2096,0.9281,5.6789
33,22.2782,0.7422,0.3186,0.9040,5.6786
34,25.0896,0.6567,0.2124,0.9454,5.6793
35,15.0816,0.7778,0.2915,1.0295,5.6764
36,18.9607,0.6055,0.1773,0.9131,5.6782
37,19.3708,0.7615,0.3136,0.9526,5.6778
38,34.8115,0.7792,0.3560,0.9031,5.6780
39,15.3075,0.6318,0.2124,0.8956,5.6786
40,26.2132,0.6197,0.1563,0.9836,5.6789
41,15.1510,0.6036,0.1478,0.9683,5.6788
42,14.5025,0.7600,0.3097,0.9574,5.6791
43,19.2834,0.4954,0.0091,1.0293,5.6795
44,24.1421,0.5824,0.1378,0.9459,5.6786
45,26.0054,0.5406,0.1119,0.9143,5.6795
46,22.5585,0.6686,0.1922,1.0097,5.6786
47,21.4128,0.6427,0.1823,0.9777,5.6769
48,12.4367,0.8441,0.4480,0.8490,5.6802
49,13.9092,0.9430,0.5359,0.8711,5.6786
50,22.4717,0.5240,0.0549,0.9951,5.6793
51,12.9489,0.5797,0.1484,0.9193,5.6780
52,28.9083,0.6039,0.1252,1.0143,5.6786
53,23.7394,0.7207,0.2631,0.9718,5.6795
54,35.8333,0.6760,0.2269,0.9551,5.6777
55,13.1764,0.5475,0.1249,0.9019,5.6809
56,27.3302,0.7402,0.3123,0.9125,5.6775
57,40.1137,0.6129,0.1642,0.9541,5.6783
58,20.2950,0.4942,0.0192,1.0068,5.6782
59,31.6875,0.7499,0.3254,0.9058,5.6782
60,19.0046,0.7482,0.2988,0.9556,5.6801
61,26.1071,0.6550,0.2094,0.9481,5.6781
62,13.8523,0.8190,0.3823,0.9303,5.6797
63,20.4284,0.6558,0.2262,0.9160,5.6798
64,13.4326,0.6744,0.2171,0.9713,5.6812
65,32.1283,0.6534,0.1737,1.0163,5.6790
66,20.6539,0.5229,0.0568,0.9889,5.6764
67,18.8830,0.8212,0.3942,0.9108,5.6769
68,28.9865,0.6571,0.2333,0.9044,5.6799
69,30.6550,0.7325,0.3083,0.9052,5.6796
70,19.5875,0.3879,0.0029,0.8268,5.6790
71,30.0766,0.8983,0.3288,1.1957,5.6782
72,14.4125,0.5399,0.0607,1.0152,5.6793
73,18.3994,0.6115,0.1649,0.9501,5.6776
