epoch,reward,loss,policy_loss,value_loss,entropy
1,26.8092,0.5160,0.0774,0.9341,5.6977
2,18.5029,0.5216,0.0362,1.0277,5.6863
3,20.6788,0.6426,0.2184,0.9052,5.6763
4,18.1355,0.3817,-0.0474,0.9148,5.6661
5,20.3148,0.5277,0.1070,0.8979,5.6481
6,13.7854,0.4869,0.0286,0.9729,5.6281
7,19.4414,0.4737,0.0460,0.9115,5.6143
8,19.1040,0.6524,0.1957,0.9692,5.5992
9,31.0807,0.6476,0.1788,0.9934,5.5669
10,37.1823,0.4244,-0.0302,0.9646,5.5326
11,31.0870,0.6224,0.1727,0.9544,5.4864
12,34.7833,0.4262,0.0028,0.9011,5.4286
13,34.3817,0.6060,0.1367,0.9923,5.3838
14,37.2549,0.3703,-0.0485,0.8912,5.3473
15,20.6641,0.4403,0.0119,0.9096,5.2924
16,38.3425,0.4660,0.0113,0.9618,5.2372
17,66.5097,0.4254,-0.0101,0.9229,5.1802
18,61.4971,0.4633,0.0212,0.9356,5.1397
19,62.2857,0.4750,0.0148,0.9710,5.0618
20,78.2656,0.4222,0.0069,0.8805,4.9865
21,94.3933,0.4785,0.0126,0.9815,4.9574
22,64.9725,0.4188,0.0218,0.8440,4.9986
23,61.1604,0.5423,0.0571,1.0204,5.0094
24,57.6804,0.4549,0.0233,0.9133,5.0162
25,80.0408,0.4332,-0.0193,0.9548,4.9967
26,65.7692,0.5108,0.0743,0.9225,4.9653
27,80.7323,0.4720,0.0202,0.9534,4.9750
28,62.5063,0.4636,0.0256,0.9263,5.0114
29,38.0028,0.4946,0.0478,0.9431,4.9705
30,63.6679,0.4399,-0.0292,0.9867,4.8691
31,79.0718,0.4718,0.0354,0.9202,4.7475
32,83.8307,0.4693,0.0248,0.9360,4.7118
33,72.5162,0.4335,0.0045,0.9050,4.7050
34,59.3419,0.4252,0.0037,0.8896,4.6654
35,89.7031,0.4748,0.0195,0.9564,4.5837
36,63.7128,0.4906,0.0227,0.9814,4.5663
37,76.2846,0.5482,0.0976,0.9467,4.5411
38,80.9764,0.5245,0.0811,0.9325,4.5751
39,65.9911,0.4819,0.0215,0.9663,4.5640
40,70.1308,0.4893,0.0381,0.9483,4.5780
41,65.3075,0.4348,0.0041,0.9076,4.6228
42,59.3836,0.4348,-0.0095,0.9354,4.6952
43,80.5383,0.4395,0.0344,0.8577,4.7436
44,67.3768,0.3966,-0.0225,0.8862,4.7974
45,72.2881,0.4480,-0.0171,0.9780,4.7626
46,71.1247,0.4392,0.0241,0.8780,4.7762
47,87.9642,0.4002,-0.0329,0.9142,4.7946
48,54.6092,0.4582,0.0177,0.9293,4.8218
49,78.5823,0.4466,0.0131,0.9148,4.7911
50,87.3089,0.4382,-0.0010,0.9261,4.7700
51,84.9097,0.4344,-0.0143,0.9451,4.7730
52,76.1857,0.4240,-0.0101,0.9155,4.7312
53,61.5804,0.4399,-0.0076,0.9419,4.6949
54,64.9681,0.4937,0.0462,0.9413,4.6357
55,82.6250,0.4542,-0.0246,1.0042,4.6511
56,54.2516,0.3991,-0.0286,0.9022,4.6807
57,85.0400,0.4835,0.0273,0.9592,4.6830
58,64.2176,0.4634,0.0220,0.9294,4.6728
59,67.9600,0.4356,-0.0092,0.9360,4.6486
60,79.4076,0.4553,0.0141,0.9285,4.6006
61,95.7430,0.4121,-0.0109,0.8920,4.6000
62,42.6829,0.4016,-0.0203,0.8901,4.6343
63,66.9460,0.4298,0.0107,0.8843,4.6166
64,96.6883,0.4439,0.0105,0.9125,4.5673
65,88.2972,0.4149,-0.0122,0.8995,4.5340
66,86.3584,0.4396,0.0047,0.9150,4.5154
67,99.8368,0.4353,-0.0160,0.9482,4.5432
68,85.3737,0.4064,-0.0107,0.8797,4.5491
69,66.5456,0.4465,0.0234,0.8914,4.5342
70,85.7689,0.4275,-0.0181,0.9364,4.5199
71,67.5619,0.4727,0.0372,0.9161,4.5217
72,90.9101,0.4481,0.0336,0.8745,4.5421
73,76.5950,0.4110,-0.0278,0.9228,4.5050
74,74.5594,0.4303,-0.0143,0.9343,4.5079
75,89.7533,0.4200,-0.0198,0.9249,4.5287
76,73.6382,0.4952,0.0671,0.9017,4.5456
77,77.1392,0.4156,-0.0065,0.8891,4.4862
78,86.4392,0.3991,-0.0389,0.9203,4.4342
79,102.8105,0.4321,-0.0270,0.9626,4.4444
80,82.4579,0.4481,0.0332,0.8743,4.4383
81,98.5003,0.4253,-0.0136,0.9217,4.3914
82,83.6131,0.3652,-0.0408,0.8553,4.3398
83,80.7853,0.4236,-0.0035,0.8973,4.3058
84,94.9710,0.4705,0.0241,0.9360,4.3121
85,95.0802,0.4169,-0.0401,0.9573,4.3273
86,76.5412,0.4107,-0.0147,0.8939,4.3128
87,91.2555,0.4407,0.0032,0.9180,4.2936
88,101.2106,0.4222,-0.0055,0.8985,4.2893
89,82.8641,0.3822,-0.0413,0.8895,4.2429
90,78.5265,0.4177,-0.0053,0.8883,4.2308
91,80.8117,0.4135,-0.0197,0.9084,4.2011
92,82.9761,0.4145,-0.0262,0.9231,4.1771
93,77.4937,0.4576,0.0221,0.9125,4.1549
94,91.1559,0.3944,-0.0103,0.8507,4.1168
95,92.9756,0.4210,-0.0390,0.9610,4.0990
96,83.8480,0.4031,-0.0456,0.9382,4.0898
97,92.2403,0.4201,-0.0259,0.9330,4.1001
98,78.0525,0.4890,0.0504,0.9181,4.0958
99,94.7581,0.4697,0.0381,0.9043,4.1067
100,76.8719,0.3930,-0.0121,0.8513,4.0989
101,78.7538,0.4388,0.0123,0.8938,4.0793
102,94.1706,0.4650,0.0171,0.9362,4.0379
103,93.3003,0.4155,0.0073,0.8565,4.0123
104,108.0621,0.4653,0.0270,0.9166,4.0062
105,81.7664,0.4379,0.0026,0.9103,3.9902
106,105.6483,0.4165,-0.0109,0.8945,3.9852
107,95.1957,0.4797,0.0534,0.8927,4.0130
108,100.8257,0.4717,0.0330,0.9177,4.0144
109,122.5614,0.4100,-0.0276,0.9154,4.0121
110,98.4106,0.4870,0.0534,0.9072,4.0120
111,100.6835,0.4183,-0.0181,0.9130,4.0177
112,106.1773,0.4303,0.0025,0.8959,4.0178
113,75.3721,0.4312,0.0039,0.8948,4.0264
114,129.4796,0.3837,-0.0525,0.9128,4.0328
115,98.2802,0.4755,0.0216,0.9482,4.0330
116,115.1713,0.3994,-0.0500,0.9393,4.0422
117,100.4808,0.4787,0.0570,0.8840,4.0588
118,112.6785,0.4178,-0.0154,0.9070,4.0624
119,88.4447,0.5012,0.0531,0.9368,4.0643
