epoch,reward,loss,policy_loss,value_loss,entropy
1,0.1429,0.5188,0.0772,0.9400,5.6839
2,0.2217,0.4554,0.0088,0.9500,5.6688
3,0.1528,0.4701,0.0173,0.9622,5.6557
4,0.1244,0.4163,-0.0236,0.9361,5.6339
5,0.1251,0.4116,-0.0302,0.9399,5.6277
6,0.1145,0.5197,0.0770,0.9414,5.6086
7,0.2187,0.4408,-0.0096,0.9566,5.5671
8,0.1569,0.3919,-0.0484,0.9359,5.5352
9,0.1232,0.3950,-0.0248,0.8948,5.5024
10,0.1773,0.4090,-0.0196,0.9124,5.5208
11,0.1607,0.3721,-0.0502,0.8992,5.4579
12,0.1921,0.4132,-0.0193,0.9193,5.4210
13,0.2044,0.4232,-0.0368,0.9739,5.3749
14,0.3222,0.3873,-0.0478,0.9237,5.3492
15,0.2914,0.4056,-0.0490,0.9624,5.3183
16,0.2112,0.4501,-0.0462,1.0460,5.3406
17,0.1924,0.4028,-0.0571,0.9730,5.3257
18,0.3272,0.3841,-0.0534,0.9279,5.2847
19,0.3311,0.3869,-0.0501,0.9262,5.2275
20,0.2669,0.3766,-0.0456,0.8960,5.1485
21,0.3241,0.3583,-0.0551,0.8781,5.1322
22,0.3202,0.3564,-0.0570,0.8773,5.0479
23,0.4076,0.3954,-0.0584,0.9573,4.9706
24,0.4361,0.4069,-0.0662,0.9951,4.8957
25,0.3887,0.3956,-0.0524,0.9452,4.9124
26,0.3697,0.3834,-0.0571,0.9309,4.9930
27,0.4338,0.3933,-0.0531,0.9424,4.9451
28,0.4241,0.3987,-0.0536,0.9533,4.8720
29,0.3728,0.4259,-0.0614,1.0240,4.9474
30,0.4139,0.4547,-0.0521,1.0629,4.9323
31,0.4087,0.3947,-0.0551,0.9486,4.9036
32,0.4723,0.4252,-0.0476,0.9949,4.9443
33,0.4004,0.3602,-0.0701,0.9106,4.9837
34,0.4059,0.3641,-0.0687,0.9146,4.9078
35,0.3468,0.3713,-0.0609,0.9136,4.9069
36,0.4052,0.3786,-0.0607,0.9276,4.9028
37,0.3520,0.3648,-0.0642,0.9063,4.8337
38,0.3858,0.3747,-0.0547,0.9071,4.8410
39,0.4676,0.3822,-0.0466,0.9052,4.7634
40,0.4930,0.3664,-0.0647,0.9097,4.7553
41,0.4049,0.3638,-0.0638,0.9027,4.7456
42,0.4190,0.3598,-0.0696,0.9067,4.7933
43,0.3773,0.3724,-0.0665,0.9262,4.8388
44,0.3866,0.3822,-0.0575,0.9280,4.8584
45,0.4264,0.3738,-0.0571,0.9105,4.8700
46,0.4531,0.3838,-0.0559,0.9284,4.8857
47,0.4588,0.3724,-0.0559,0.9059,4.9236
48,0.3611,0.3623,-0.0637,0.9013,4.9378
49,0.4749,0.3635,-0.0635,0.9037,4.9734
50,0.4745,0.3733,-0.0551,0.9066,4.9942
51,0.4016,0.3768,-0.0585,0.9211,5.0464
52,0.4380,0.3655,-0.0607,0.9024,4.9904
53,0.2988,0.3572,-0.0685,0.9010,4.9668
54,0.4338,0.3614,-0.0644,0.9009,4.9398
55,0.4499,0.3662,-0.0598,0.9008,4.8781
56,0.4293,0.3689,-0.0579,0.9015,4.7965
57,0.3448,0.3639,-0.0645,0.9050,4.8081
58,0.3483,0.3547,-0.0731,0.9035,4.8021
59,0.5026,0.3661,-0.0618,0.9039,4.8123
60,0.4700,0.3651,-0.0615,0.9015,4.8217
61,0.5267,0.3681,-0.0577,0.9005,4.8809
62,0.4551,0.3681,-0.0577,0.9003,4.8817
63,0.4238,0.3793,-0.0464,0.9002,4.8649
64,0.3692,0.3664,-0.0595,0.9005,4.8633
65,0.4252,0.3630,-0.0629,0.9003,4.8504
66,0.4389,0.3600,-0.0661,0.9007,4.8451
67,0.5133,0.3774,-0.0484,0.9005,4.8757
68,0.4630,0.3665,-0.0595,0.9006,4.8653
69,0.5199,0.3678,-0.0584,0.9010,4.8543
70,0.4732,0.3669,-0.0590,0.9004,4.8694
71,0.5193,0.3660,-0.0601,0.9008,4.8582
72,0.4012,0.3733,-0.0551,0.9054,4.8631
73,0.4483,0.3718,-0.0585,0.9094,4.8784
74,0.3945,0.3606,-0.0663,0.9029,4.9010
75,0.5373,0.3770,-0.0494,0.9018,4.9052
76,0.4352,0.3640,-0.0628,0.9030,4.9235
77,0.5177,0.3775,-0.0530,0.9105,4.9504
78,0.3926,0.3676,-0.0588,0.9028,4.9928
79,0.4005,0.3639,-0.0618,0.9015,4.9980
80,0.4661,0.3720,-0.0539,0.9020,5.0180
81,0.4232,0.3773,-0.0560,0.9166,4.9957
82,0.4187,0.3658,-0.0598,0.9014,5.0157
83,0.4603,0.3657,-0.0596,0.9003,4.9723
84,0.3825,0.3661,-0.0621,0.9061,4.9678
85,0.4661,0.3748,-0.0612,0.9217,4.9638
86,0.4720,0.3689,-0.0613,0.9099,4.9478
87,0.4390,0.3816,-0.0514,0.9152,4.9230
88,0.3934,0.3725,-0.0563,0.9066,4.8898
89,0.4437,0.3771,-0.0506,0.9040,4.8655
90,0.5499,0.3733,-0.0532,0.9016,4.8670
91,0.4043,0.3687,-0.0600,0.9064,4.8901
92,0.3843,0.3679,-0.0585,0.9015,4.8682
93,0.5884,0.3674,-0.0597,0.9026,4.8450
94,0.5031,0.3752,-0.0548,0.9075,4.7700
95,0.4985,0.3756,-0.0510,0.9012,4.7920
96,0.4785,0.3704,-0.0560,0.9005,4.7478
97,0.5376,0.3790,-0.0475,0.9004,4.7518
98,0.5559,0.3722,-0.0547,0.9012,4.7499
99,0.4918,0.3706,-0.0561,0.9006,4.7196
100,0.4613,0.3741,-0.0538,0.9030,4.7185
101,0.5154,0.3696,-0.0570,0.9003,4.7154
