epoch,reward,loss,policy_loss,value_loss,entropy
1,22.5739,0.4234,-0.0138,0.9313,5.6931
2,17.3908,0.5700,0.1185,0.9599,5.6903
3,19.8037,0.7669,0.3311,0.9285,5.6902
4,16.3799,0.6787,0.2878,0.8389,5.6897
5,26.9428,0.5248,0.1011,0.9043,5.6891
6,19.2288,0.7224,0.2709,0.9598,5.6884
7,20.2580,0.6165,0.1738,0.9423,5.6899
8,32.3919,0.5064,0.0606,0.9484,5.6916
9,22.5479,0.4898,0.0231,0.9905,5.6892
10,23.0747,0.5685,0.1426,0.9088,5.6908
11,27.5018,0.5641,0.1080,0.9693,5.6896
12,24.1567,0.6993,0.2951,0.8653,5.6892
13,12.9307,0.5311,0.0608,0.9976,5.6884
14,27.1609,0.5844,0.1697,0.8863,5.6884
15,21.3655,0.6072,0.1672,0.9370,5.6900
16,34.2381,0.4485,0.0245,0.9050,5.6893
17,16.0403,0.6723,0.2153,0.9710,5.6881
18,20.6517,0.6867,0.2181,0.9941,5.6902
19,14.6637,0.5755,0.1565,0.8949,5.6889
20,22.5506,0.6671,0.2181,0.9549,5.6884
21,21.5653,0.5065,0.0788,0.9124,5.6886
22,37.3344,0.5192,0.1024,0.8906,5.6908
23,36.9226,0.5651,0.1467,0.8936,5.6892
24,29.4478,0.6197,0.1804,0.9356,5.6899
25,30.2922,0.6016,0.1287,1.0027,5.6886
26,30.6660,0.6114,0.1567,0.9662,5.6889
27,15.9572,0.5747,0.1204,0.9656,5.6899
28,15.4436,0.5594,0.1543,0.8671,5.6883
29,32.1633,0.7515,0.3061,0.9477,5.6902
30,26.2117,0.7092,0.2648,0.9458,5.6898
31,17.0407,0.5745,0.1516,0.9027,5.6902
32,14.0537,0.5193,0.0910,0.9136,5.6904
33,25.6892,0.4518,0.0262,0.9081,5.6899
34,24.9513,0.6034,0.1616,0.9406,5.6884
35,18.0254,0.5249,0.0642,0.9783,5.6892
36,11.0900,0.7206,0.2635,0.9711,5.6880
37,27.3462,0.6021,0.1580,0.9450,5.6883
38,23.0150,0.6418,0.2234,0.8937,5.6895
39,19.7297,0.4862,0.0600,0.9094,5.6904
40,19.4955,0.5038,0.0634,0.9377,5.6884
41,19.5373,0.5496,0.1292,0.8977,5.6891
42,22.7533,0.7134,0.2634,0.9570,5.6888
43,32.3706,0.5964,0.1550,0.9396,5.6886
44,19.6500,0.5163,0.0993,0.8909,5.6892
45,26.9272,0.5786,0.1746,0.8648,5.6894
46,27.8557,0.5782,0.1644,0.8846,5.6904
47,22.0743,0.6578,0.2260,0.9206,5.6869
48,26.0499,0.5332,0.1251,0.8730,5.6898
49,23.7889,0.4796,0.0375,0.9411,5.6891
50,22.3367,0.6215,0.1836,0.9326,5.6895
51,24.1569,0.8969,0.4674,0.9158,5.6877
52,18.9261,0.6135,0.1798,0.9244,5.6869
53,21.8442,0.6297,0.2131,0.8902,5.6883
54,20.6644,0.5753,0.1682,0.8711,5.6885
55,12.2658,0.5077,0.0689,0.9346,5.6893
56,26.9042,0.5811,0.1035,1.0120,5.6892
57,21.7525,0.7662,0.3218,0.9457,5.6895
58,24.8006,0.5807,0.1403,0.9378,5.6882
59,22.1595,0.6706,0.2271,0.9440,5.6888
60,18.3465,0.6085,0.1718,0.9303,5.6892
61,25.0428,0.6192,0.1671,0.9611,5.6883
62,23.7135,0.6733,0.2129,0.9777,5.6881
63,18.4071,0.6799,0.2596,0.8976,5.6901
64,25.2212,0.7283,0.2952,0.9230,5.6885
65,43.3448,0.5878,0.1819,0.8688,5.6879
66,21.8274,0.5127,0.0590,0.9643,5.6891
67,18.3093,0.8690,0.4435,0.9079,5.6897
68,19.7183,0.5609,0.1314,0.9159,5.6893
69,27.6871,0.4580,0.0460,0.8809,5.6889
70,36.1546,0.6651,0.2668,0.8535,5.6901
71,27.4111,0.5767,0.1423,0.9258,5.6912
72,15.2619,0.4448,0.0004,0.9458,5.6886
73,20.3278,0.6337,0.1577,1.0089,5.6880
74,25.8233,0.5705,0.1891,0.8198,5.6875
75,21.7903,0.5749,0.1636,0.8795,5.6884
76,23.7475,0.7290,0.2666,0.9817,5.6887
77,32.9885,0.5154,0.0839,0.9199,5.6901
78,20.9997,0.5206,0.1161,0.8660,5.6881
79,26.6200,0.6379,0.1515,1.0297,5.6894
80,20.8783,0.6554,0.2067,0.9542,5.6887
81,28.3580,0.7684,0.3157,0.9623,5.6891
82,22.2006,0.6772,0.2704,0.8705,5.6905
83,17.1550,0.5531,0.1227,0.9178,5.6880
84,29.3940,0.5132,0.0831,0.9170,5.6868
85,22.6122,0.5238,0.0855,0.9336,5.6886
86,26.7818,0.4732,0.0178,0.9676,5.6883
87,16.2097,0.8043,0.3432,0.9791,5.6889
88,28.7783,0.4710,0.0290,0.9410,5.6874
89,22.1630,0.7809,0.3219,0.9749,5.6869
90,22.2790,0.5087,0.0540,0.9664,5.6893
91,28.6652,0.6430,0.2223,0.8982,5.6879
92,20.0396,0.7717,0.2966,1.0072,5.6885
93,19.4965,0.6654,0.2262,0.9351,5.6883
94,29.3078,0.6045,0.1481,0.9697,5.6871
95,17.8194,0.6146,0.1508,0.9843,5.6896
96,23.8679,0.7300,0.2633,0.9903,5.6892
97,19.7062,0.5175,0.0848,0.9221,5.6887
98,23.5597,0.5829,0.1469,0.9288,5.6894
99,29.4289,0.6501,0.2387,0.8798,5.6883
100,26.3554,0.5617,0.1515,0.8772,5.6910
101,18.0165,0.7785,0.3455,0.9229,5.6897
102,13.8865,0.5823,0.1487,0.9240,5.6898
103,21.1306,0.5349,0.0926,0.9414,5.6886
104,17.7929,0.7676,0.3262,0.9396,5.6882
105,17.9975,0.5414,0.1519,0.8359,5.6896
106,22.4803,0.5714,0.1612,0.8773,5.6903
107,28.1214,0.6841,0.2318,0.9613,5.6891
108,18.7759,0.4657,0.0692,0.8498,5.6885
109,18.1311,0.8659,0.4579,0.8728,5.6889
110,14.3460,0.5536,0.0983,0.9675,5.6893
111,18.8131,0.5801,0.1149,0.9874,5.6894
112,21.1611,0.4726,0.0864,0.8292,5.6890
113,27.8504,0.5937,0.1778,0.8886,5.6905
114,22.3750,0.5642,0.1553,0.8746,5.6890
115,18.6839,0.7122,0.2506,0.9803,5.6895
116,22.8883,0.5271,0.1183,0.8743,5.6879
117,17.4075,0.5879,0.1730,0.8866,5.6881
118,17.8644,0.5343,0.1301,0.8653,5.6891
119,33.5748,0.4945,0.0666,0.9128,5.6879
120,20.3810,0.7710,0.2882,1.0224,5.6880
121,25.8944,0.6725,0.2402,0.9215,5.6890
122,27.3520,0.4917,0.0496,0.9410,5.6892
123,25.3587,0.6090,0.1650,0.9450,5.6881
124,14.1745,0.6328,0.1964,0.9295,5.6876
125,21.5931,0.6127,0.1678,0.9466,5.6888
126,21.5736,0.5981,0.1789,0.8954,5.6895
127,20.4258,0.7415,0.2926,0.9548,5.6898
128,16.0133,0.5456,0.1270,0.8942,5.6892
129,19.6587,0.5244,0.1013,0.9031,5.6884
130,23.7772,0.7770,0.3573,0.8962,5.6903
131,29.8942,0.7495,0.3215,0.9127,5.6880
132,21.2378,0.7003,0.2826,0.8921,5.6882
133,16.6137,0.7837,0.3178,0.9886,5.6891
134,22.1528,0.6175,0.1539,0.9840,5.6878
135,28.1642,0.5897,0.1511,0.9341,5.6885
136,17.2100,0.5136,0.0654,0.9532,5.6871
137,20.4389,0.5885,0.1810,0.8719,5.6874
138,27.3118,0.4372,0.0229,0.8855,5.6880
139,18.9044,0.9068,0.4395,0.9914,5.6900
140,25.8378,0.6187,0.1878,0.9186,5.6895
141,31.9691,0.8344,0.4202,0.8852,5.6892
142,24.4317,0.6535,0.2110,0.9420,5.6896
143,25.9973,0.6900,0.2502,0.9365,5.6899
144,17.6911,0.7309,0.3052,0.9083,5.6884
145,18.7407,0.4510,0.0098,0.9393,5.6892
146,14.6025,0.5583,0.0606,1.0524,5.6890
147,25.4432,0.5113,0.0726,0.9342,5.6873
148,19.6438,0.5922,0.1890,0.8633,5.6893
149,20.4390,0.6837,0.2166,0.9909,5.6885
150,18.1125,0.4392,0.0255,0.8843,5.6890
151,23.8823,0.6623,0.1936,0.9944,5.6896
152,21.5708,0.5158,0.0512,0.9862,5.6884
153,29.9295,0.7123,0.3073,0.8668,5.6898
154,20.0857,0.6489,0.2106,0.9336,5.6893
155,16.6669,0.5526,0.1290,0.9041,5.6887
156,21.8490,0.5898,0.1579,0.9207,5.6903
157,20.2782,0.5302,0.0904,0.9366,5.6902
158,17.0810,0.5204,0.1017,0.8943,5.6882
159,18.5188,0.8547,0.3858,0.9947,5.6890
160,20.5231,0.6778,0.2565,0.8994,5.6879
161,24.5060,0.5465,0.1024,0.9449,5.6876
162,24.3845,0.5592,0.1377,0.9000,5.6888
163,18.3705,0.8761,0.4647,0.8798,5.6894
164,26.2339,0.5617,0.1027,0.9750,5.6883
165,25.0626,0.5075,0.0763,0.9194,5.6894
166,33.6572,0.6352,0.2362,0.8550,5.6893
167,28.1608,0.8272,0.3945,0.9222,5.6883
168,21.4958,0.5535,0.1021,0.9597,5.6875
169,25.1256,0.6198,0.1614,0.9738,5.6887
170,27.1392,0.8554,0.4683,0.8310,5.6904
171,18.7641,0.5075,0.1049,0.8622,5.6899
172,29.4704,0.5315,0.0969,0.9261,5.6887
173,19.3520,0.6115,0.1798,0.9204,5.6884
