epoch,reward,loss,policy_loss,value_loss,entropy
1,26.2092,0.4646,0.0171,0.9521,5.6951
2,20.2839,0.9162,0.5302,0.8290,5.6920
3,26.3301,0.6939,0.2746,0.8954,5.6929
4,27.1521,0.5932,0.1717,0.8998,5.6903
5,27.3264,0.5058,0.0629,0.9428,5.6929
6,16.2743,0.6023,0.1770,0.9075,5.6922
7,14.9133,0.5649,0.1344,0.9180,5.6911
8,22.5851,0.5716,0.1686,0.8629,5.6925
9,29.6742,0.7566,0.3161,0.9380,5.6929
10,18.5795,0.5597,0.1435,0.8892,5.6918
11,20.3864,0.6286,0.1841,0.9459,5.6928
12,16.4419,0.5476,0.0883,0.9755,5.6913
13,36.2861,0.5885,0.1610,0.9119,5.6911
14,17.2347,0.7495,0.2941,0.9678,5.6916
15,24.0378,0.5916,0.1479,0.9443,5.6918
16,16.7384,0.6123,0.1500,0.9815,5.6915
17,19.2264,0.5945,0.1965,0.8530,5.6924
18,33.8492,0.5201,0.1050,0.8871,5.6920
19,28.3514,0.5204,0.0722,0.9533,5.6916
20,23.2727,0.6703,0.2173,0.9629,5.6919
21,20.2700,0.6809,0.2629,0.8929,5.6923
22,21.0403,0.7197,0.2930,0.9102,5.6924
23,18.5357,0.6741,0.2450,0.9153,5.6917
24,16.0722,0.5216,0.1221,0.8558,5.6919
25,15.2752,0.7494,0.3450,0.8656,5.6918
26,29.4684,0.4935,0.0831,0.8776,5.6918
27,28.2720,0.6282,0.1987,0.9159,5.6915
28,13.8911,0.5286,0.1052,0.9038,5.6926
29,25.0847,1.0659,0.6481,0.8927,5.6921
30,16.2060,0.7744,0.3374,0.9310,5.6921
31,29.1500,0.4839,0.0553,0.9143,5.6923
32,16.8393,0.7450,0.3006,0.9457,5.6929
33,21.9384,0.7965,0.3392,0.9717,5.6918
34,17.1724,0.5088,0.0830,0.9087,5.6928
35,21.5492,0.6484,0.2058,0.9420,5.6934
36,26.7237,0.7735,0.3540,0.8960,5.6922
37,14.7689,0.6365,0.2267,0.8764,5.6936
