epoch,reward,loss,policy_loss,value_loss,entropy
1,16.7117,0.5430,0.0936,0.9557,5.6821
2,33.0642,0.6762,0.2391,0.9310,5.6741
3,22.5925,0.6375,0.1958,0.9400,5.6614
4,20.0663,0.5760,0.1626,0.8835,5.6679
5,34.6711,0.6877,0.2276,0.9768,5.6639
6,14.3350,0.6844,0.2465,0.9325,5.6692
7,28.2145,0.6076,0.1616,0.9487,5.6745
8,26.2924,0.6467,0.2279,0.8942,5.6684
9,17.9517,0.5478,0.1065,0.9394,5.6696
10,20.5299,0.6103,0.1743,0.9286,5.6699
11,18.3878,0.8296,0.3873,0.9412,5.6736
12,16.5635,0.5365,0.1312,0.8673,5.6649
13,32.8858,0.5625,0.1029,0.9759,5.6683
14,28.7253,0.5684,0.1064,0.9806,5.6679
15,35.9026,0.5438,0.1144,0.9154,5.6723
16,21.4836,0.4793,0.0763,0.8627,5.6667
17,28.3147,0.4901,0.0654,0.9061,5.6671
18,13.9176,0.4649,0.0518,0.8828,5.6607
19,21.4025,0.6189,0.1730,0.9485,5.6673
20,20.7740,0.6358,0.2102,0.9079,5.6738
21,22.9817,0.5732,0.1501,0.9029,5.6689
22,21.3415,0.7900,0.3876,0.8615,5.6691
23,13.8722,0.6026,0.1395,0.9827,5.6686
24,17.6748,0.6079,0.1545,0.9635,5.6709
25,24.0703,0.6243,0.1788,0.9478,5.6736
26,18.6473,0.7117,0.2735,0.9331,5.6633
27,30.0844,0.5897,0.1515,0.9331,5.6615
28,14.7756,0.5277,0.1035,0.9050,5.6682
29,21.3269,0.5412,0.1359,0.8672,5.6695
30,33.7425,0.7538,0.3434,0.8775,5.6681
31,33.5919,0.5964,0.1538,0.9418,5.6670
32,23.7788,0.6032,0.1304,1.0022,5.6634
33,23.0044,0.6930,0.2484,0.9458,5.6636
34,18.5036,0.5754,0.1462,0.9151,5.6676
35,17.7419,0.5575,0.1238,0.9240,5.6643
36,34.3082,0.7270,0.2812,0.9484,5.6751
37,16.3308,0.5307,0.0848,0.9484,5.6677
38,16.2234,0.4990,0.0326,0.9896,5.6689
39,28.2382,0.5847,0.1629,0.9003,5.6674
40,14.7611,0.4658,0.0365,0.9153,5.6660
41,25.0307,0.4742,0.0653,0.8746,5.6678
42,24.0133,0.7632,0.3268,0.9295,5.6652
43,21.7756,0.6667,0.2748,0.8404,5.6669
44,18.4081,0.5245,0.0968,0.9123,5.6694
45,19.3671,0.4448,0.0209,0.9044,5.6646
46,24.8927,0.5170,0.0840,0.9225,5.6633
47,26.8997,0.7534,0.2735,1.0165,5.6625
48,36.0790,0.4911,0.0862,0.8664,5.6657
49,31.0906,0.6632,0.2312,0.9208,5.6734
50,14.8690,0.5041,0.0929,0.8791,5.6674
51,17.5653,0.7283,0.2844,0.9446,5.6671
52,24.0694,0.3892,-0.0376,0.9104,5.6678
53,23.0944,0.6695,0.2255,0.9447,5.6662
54,13.4229,0.6117,0.1970,0.8862,5.6667
55,20.1760,0.5059,0.1097,0.8491,5.6615
56,23.3607,0.6604,0.1991,0.9793,5.6696
57,14.1694,0.6355,0.1839,0.9601,5.6707
58,14.7933,0.7440,0.2512,1.0422,5.6628
59,22.9171,0.5956,0.1141,1.0197,5.6669
60,24.0700,0.5019,0.0420,0.9764,5.6635
61,16.2792,0.5628,0.1523,0.8777,5.6670
62,17.6795,0.7110,0.3002,0.8783,5.6680
63,33.8362,0.4947,0.0797,0.8868,5.6725
64,23.7003,0.6425,0.2107,0.9202,5.6640
65,29.4431,0.6249,0.2290,0.8483,5.6686
66,19.9114,0.5329,0.0934,0.9358,5.6684
67,18.7208,0.5290,0.0777,0.9591,5.6651
68,13.1367,0.6891,0.2169,1.0011,5.6740
69,21.2542,0.6370,0.2111,0.9084,5.6681
70,25.3714,0.4567,0.0139,0.9423,5.6723
71,17.2567,1.1328,0.6487,1.0249,5.6673
72,20.7886,0.5702,0.1613,0.8744,5.6644
73,16.4226,0.6653,0.2506,0.8862,5.6685
74,15.9346,0.4423,0.0058,0.9296,5.6629
75,16.5978,0.4852,0.0445,0.9382,5.6723
76,14.7289,0.7110,0.2646,0.9496,5.6622
77,16.4693,0.6471,0.2447,0.8615,5.6641
78,25.1869,0.5391,0.1485,0.8379,5.6636
79,20.1266,0.7730,0.3623,0.8780,5.6670
80,20.7945,0.6808,0.2531,0.9120,5.6612
81,25.0476,0.8619,0.3991,0.9824,5.6687
82,25.5790,0.6662,0.2341,0.9209,5.6733
83,15.1014,0.4894,0.0667,0.9021,5.6623
84,23.4425,0.4986,0.0526,0.9486,5.6671
85,22.3573,0.6673,0.2383,0.9147,5.6669
86,32.1310,0.6228,0.1768,0.9487,5.6741
87,24.7190,0.6870,0.2465,0.9377,5.6656
88,15.5596,0.5856,0.1244,0.9791,5.6657
89,20.0156,0.5501,0.1383,0.8802,5.6637
90,25.5058,0.6313,0.1821,0.9551,5.6679
91,23.5858,0.6363,0.2184,0.8924,5.6682
92,15.1403,0.4823,0.0152,0.9908,5.6671
93,21.3116,0.5125,0.0632,0.9553,5.6729
94,16.2105,0.4384,-0.0144,0.9622,5.6634
95,17.5561,0.6338,0.2137,0.8968,5.6619
96,18.1100,0.5099,0.1236,0.8292,5.6632
97,24.8479,0.7185,0.2629,0.9679,5.6748
98,31.9125,0.5972,0.1546,0.9420,5.6681
99,31.6575,0.6210,0.2100,0.8786,5.6681
100,14.1780,0.6379,0.1907,0.9512,5.6715
101,17.8540,0.5579,0.1289,0.9149,5.6696
102,29.4606,0.5546,0.1056,0.9547,5.6679
103,19.3020,0.5263,0.0983,0.9127,5.6682
104,11.9895,0.5946,0.1662,0.9135,5.6670
105,18.5839,0.6027,0.2172,0.8276,5.6687
106,18.6632,0.6713,0.2169,0.9655,5.6698
107,20.8828,0.8374,0.3998,0.9320,5.6701
108,28.2592,0.6194,0.1871,0.9213,5.6647
109,16.4938,0.6187,0.1471,0.9998,5.6654
110,18.3306,0.9337,0.4794,0.9654,5.6734
111,24.7208,0.7246,0.2774,0.9511,5.6700
112,24.4891,0.7351,0.3026,0.9217,5.6622
113,20.8892,0.6020,0.1890,0.8825,5.6658
114,19.1869,0.4924,0.0665,0.9085,5.6635
115,19.4292,0.6581,0.2404,0.8922,5.6683
116,22.5258,0.6381,0.1900,0.9529,5.6629
117,26.5907,0.6477,0.1927,0.9666,5.6687
118,20.6391,0.6911,0.2706,0.8976,5.6693
119,21.0674,0.4613,0.0390,0.9013,5.6658
120,19.3755,0.7257,0.2952,0.9177,5.6687
121,21.7520,0.9317,0.4616,0.9969,5.6693
122,13.1667,0.6225,0.1440,1.0137,5.6687
123,15.7021,0.6082,0.1277,1.0178,5.6671
124,15.8607,0.5570,0.1244,0.9220,5.6673
125,22.8392,0.6393,0.2182,0.8987,5.6626
126,25.7822,0.6673,0.1804,1.0304,5.6749
127,18.4213,0.5805,0.1377,0.9422,5.6647
128,22.9225,0.6161,0.1862,0.9165,5.6613
129,27.3994,0.4858,0.0679,0.8926,5.6669
130,15.0417,0.7201,0.2630,0.9709,5.6707
131,21.0647,0.5519,0.0906,0.9794,5.6724
